id,x,y,latitude,longitude,label,tags,url,xywh
point_123,,,28.2218604,129.2915732,しよんま崎,崎,"https://maps.app.goo.gl/?q=28.2218604,129.2915732",
point_124,,,28.2167373,129.2864406,宮田崎,崎,"https://maps.app.goo.gl/?q=28.2167373,129.2864406",
point_125,,,28.1842622,129.2635209,つはく崎,崎,"https://maps.app.goo.gl/?q=28.1842622,129.2635209",
point_126,,,28.1831287,129.2739289,あだんけ崎,崎,"https://maps.app.goo.gl/?q=28.1831287,129.2739289",
point_127,,,28.1892498,129.2852571,なん崎,崎,"https://maps.app.goo.gl/?q=28.1892498,129.2852571",
point_128,,,28.1782971,129.2830391,ゆい崎,崎,"https://maps.app.goo.gl/?q=28.1782971,129.2830391",
point_129,,,28.1741838,129.2791929,ゆい小嶋,その他,"https://maps.app.goo.gl/?q=28.1741838,129.2791929",
point_130,,,28.1677202,129.2878497,つふから崎,崎,"https://maps.app.goo.gl/?q=28.1677202,129.2878497",
point_131,,,28.1657667,129.2848518,長崎,崎,"https://maps.app.goo.gl/?q=28.1657667,129.2848518",
point_132,,,28.1539659,129.2927008,まちやみ崎,崎,"https://maps.app.goo.gl/?q=28.1539659,129.2927008",
point_133,,,28.149419,129.2962396,しよんま崎,崎,"https://maps.app.goo.gl/?q=28.149419,129.2962396",
point_134,,,28.1677024,129.3155515,おかみ山,山,"https://maps.app.goo.gl/?q=28.1677024,129.3155515",
point_135,,,28.1344582,129.3229417,御神瀬,干瀬,"https://maps.app.goo.gl/?q=28.1344582,129.3229417",
point_136,,,28.1316364,129.3356373,みんせのはな,その他,"https://maps.app.goo.gl/?q=28.1316364,129.3356373",
point_137,,,28.1320119,129.3485902,崎山崎,崎,"https://maps.app.goo.gl/?q=28.1320119,129.3485902",
point_138,,,28.112177,129.3667513,一ツ玉,その他,"https://maps.app.goo.gl/?q=28.112177,129.3667513",
point_139,,,28.1054767,129.3613237,はい瀬,干瀬,"https://maps.app.goo.gl/?q=28.1054767,129.3613237",
point_140,,,28.1134156,129.3810937,ねくれ,その他,"https://maps.app.goo.gl/?q=28.1134156,129.3810937",
point_141,,,28.1522976,129.3661515,白瀬,干瀬,"https://maps.app.goo.gl/?q=28.1522976,129.3661515",
point_142,,,28.1704874,129.3603971,平瀬崎,崎,"https://maps.app.goo.gl/?q=28.1704874,129.3603971",
point_143,,,28.164436,129.3757087,せとの崎,崎,"https://maps.app.goo.gl/?q=28.164436,129.3757087",
point_144,,,28.1548604,129.4012721,二まい瀬,干瀬,"https://maps.app.goo.gl/?q=28.1548604,129.4012721",
point_145,,,28.1553443,129.4000718,満崎,崎,"https://maps.app.goo.gl/?q=28.1553443,129.4000718",
point_146,,,28.183918,129.4053176,二ツ瀬,干瀬,"https://maps.app.goo.gl/?q=28.183918,129.4053176",
point_147,,,28.187649,129.4330999,立神,その他,"https://maps.app.goo.gl/?q=28.187649,129.4330999",
point_148,,,28.3095643,129.5123101,くろ瀬,干瀬,"https://maps.app.goo.gl/?q=28.3095643,129.5123101",
point_149,,,28.3125714,129.5437677,中ひせ,干瀬,"https://maps.app.goo.gl/?q=28.3125714,129.5437677",
point_150,,,28.3095643,129.5123101,赤立神,その他,"https://maps.app.goo.gl/?q=28.3095643,129.5123101",
point_151,,,28.3043376,129.5425308,三ツ瀬,干瀬,"https://maps.app.goo.gl/?q=28.3043376,129.5425308",
point_152,,,28.189979,129.1630761,われ瀬,干瀬,"https://maps.app.goo.gl/?q=28.189979,129.1630761",
point_153,,,28.1956116,129.1688066,ゑにや,その他,"https://maps.app.goo.gl/?q=28.1956116,129.1688066",
point_154,,,28.2045462,129.209873,立神,その他,"https://maps.app.goo.gl/?q=28.2045462,129.209873",
point_155,,,28.1992077,129.2092644,赤崎,崎,"https://maps.app.goo.gl/?q=28.1992077,129.2092644",
point_156,,,28.1971362,129.2311112,いなかさ崎,崎,"https://maps.app.goo.gl/?q=28.1971362,129.2311112",
point_157,,,28.1868211,129.2408575,すけもくの崎,崎,"https://maps.app.goo.gl/?q=28.1868211,129.2408575",
point_158,,,28.1657112,129.2222481,きさき崎,崎,"https://maps.app.goo.gl/?q=28.1657112,129.2222481",
point_159,,,28.158005,129.273976,赤崎,崎,"https://maps.app.goo.gl/?q=28.158005,129.273976",
point_160,,,28.158005,129.273976,通り瀬,干瀬,"https://maps.app.goo.gl/?q=28.158005,129.273976",
point_161,,,28.158005,129.273976,大そね,その他,"https://maps.app.goo.gl/?q=28.158005,129.273976",
point_162,,,28.149972,129.277333,ひら小嶋,その他,"https://maps.app.goo.gl/?q=28.149972,129.277333",
point_163,,,28.1319722,129.2491667,あさまちや之崎,崎,"https://maps.app.goo.gl/?q=28.1319722,129.2491667",
